"ano";"musica";"artista";"video";"path"
1974;"bennie-and-the-jets";"elton-john";"p5rqhoaqptw";"cifras\elton-john\elton-john_bennie-and-the-jets.html"
1974;"sideshow";"blue-magic";"tscxllhmiig";"cifras\blue-magic\blue-magic_sideshow.html"
1974;"love-me-or-leave-me-alone";"dennis-yost-&-the-classics-iv";"ocfwnokeew4";"cifras\dennis-yost-&-the-classics-iv\dennis-yost-&-the-classics-iv_love-me-or-leave-me-alone.html"
1974;"eu-quero-apenas";"roberto-carlos";"pbbxziufzf4";"cifras\roberto-carlos\roberto-carlos_eu-quero-apenas.html"
1974;"canta,-canta-minha-gente";"martinho-da-vila";"fxqb1fylu5k";"cifras\martinho-da-vila\martinho-da-vila_canta,-canta-minha-gente.html"
1974;"oh-very-young";"cat-stevens";"bp6b9httri8";"cifras\cat-stevens\cat-stevens_oh-very-young.html"
1974;"se-nao-for-amor";"benito-di-paula";"ylcy-nqhhdq";"cifras\benito-di-paula\benito-di-paula_se-nao-for-amor.html"
1974;"tu-nella-mia-vita";"wess-&-dori-ghezzi";"n0cg6b-9kug";"cifras\wess-&-dori-ghezzi\wess-&-dori-ghezzi_tu-nella-mia-vita.html"
1974;"my-mistake";"diana-ross-&-marvin-gaye";"6sntiofuszg";"cifras\diana-ross-&-marvin-gaye\diana-ross-&-marvin-gaye_my-mistake.html"
1974;"amor-com-amor-se-paga";"carmen-silva";"_-3ebc_imvy";"cifras\carmen-silva\carmen-silva_amor-com-amor-se-paga.html"
1974;"quantas-lagrimas";"chrystina";"zhna39scwec";"cifras\chrystina\chrystina_quantas-lagrimas.html"
1974;"flores-astrais";"secos-&-molhados";"m7kqbv4s8s8";"cifras\secos-&-molhados\secos-&-molhados_flores-astrais.html"
1974;"cadeira-de-rodas";"fernando-mendes";"mo3nbk2mij0";"cifras\fernando-mendes\fernando-mendes_cadeira-de-rodas.html"
1974;"sunshine-on-my-shoulders";"john-denver";"diwuu_r6gje";"cifras\john-denver\john-denver_sunshine-on-my-shoulders.html"
1974;"toro-de-lagrimas";"antonio-carlos-&-jocafi";"mhnwcendttw";"cifras\antonio-carlos-&-jocafi\antonio-carlos-&-jocafi_toro-de-lagrimas.html"
1974;"all-in-love-is-fair";"barbra-streisand";"pl_edmsckj4";"cifras\barbra-streisand\barbra-streisand_all-in-love-is-fair.html"
1974;"arrasta-a-sandalia";"trio-esperanca";"axi5jnwmgg4";"cifras\trio-esperanca\trio-esperanca_arrasta-a-sandalia.html"
1974;"until-you-come-back-to-me";"aretha-franklin";"bjzwcawresa";"cifras\aretha-franklin\aretha-franklin_until-you-come-back-to-me.html"
1974;"tu-sei-cosi";"fred-bongusto";"rwljogbpx4c";"cifras\fred-bongusto\fred-bongusto_tu-sei-cosi.html"
1974;"anastacio-(samba-enredo-para-um-sambista-morto)";"cesar-costa-filho";"slegt4wrc0e";"cifras\cesar-costa-filho\cesar-costa-filho_anastacio-(samba-enredo-para-um-sambista-morto).html"
1974;"vai-doer";"nazareno-&-pena-branca";"p1kghtvnofo";"cifras\nazareno-&-pena-branca\nazareno-&-pena-branca_vai-doer.html"
1974;"a-noite-mais-linda-do-mundo";"odair-jose";"v0wqx43r35i";"cifras\odair-jose\odair-jose_a-noite-mais-linda-do-mundo.html"
1974;"we-can-make-it-happen";"stylistics";"cnlwgas8-so";"cifras\stylistics\stylistics_we-can-make-it-happen.html"
1974;"beleza-que-e-voce-mulher";"benito-di-paula";"ubi3hz9-s6s";"cifras\benito-di-paula\benito-di-paula_beleza-que-e-voce-mulher.html"
1974;"she";"charles-aznavour";"nxazmreym88";"cifras\charles-aznavour\charles-aznavour_she.html"
1974;"hello-old-friend";"james-taylor";"drxti6wrtlo";"cifras\james-taylor\james-taylor_hello-old-friend.html"
1974;"noi-due-per-sempre";"wess-&-dori-ghezzi";"mcwrrgrde1q";"cifras\wess-&-dori-ghezzi\wess-&-dori-ghezzi_noi-due-per-sempre.html"
1974;"lady-its-time-to-go";"stu-nunnery";"iticppjvnvq";"cifras\stu-nunnery\stu-nunnery_lady-its-time-to-go.html"
1974;"lets-put-it-all-together";"stylistics";"lqe_cmlvu6g";"cifras\stylistics\stylistics_lets-put-it-all-together.html"
1974;"eu-quero-apenas-carinho";"jose-augusto";"da8cyvekwfi";"cifras\jose-augusto\jose-augusto_eu-quero-apenas-carinho.html"
1974;"the-way-we-were";"barbra-streisand";"1yrd6caxygw";"cifras\barbra-streisand\barbra-streisand_the-way-we-were.html"
1974;"my-love";"margie-joseph";"1x5hlq74fga";"cifras\margie-joseph\margie-joseph_my-love.html"
1974;"angie";"rolling-stones";"k5_ebazipjm";"cifras\rolling-stones\rolling-stones_angie.html"
1974;"stop,-look,-listen-(to-your-heart)";"diana-ross-&-marvin-gaye";"zzg8vm8ryrs";"cifras\diana-ross-&-marvin-gaye\diana-ross-&-marvin-gaye_stop,-look,-listen-(to-your-heart).html"
1974;"sylvia";"stevie-wonder";"vzqwichc_n0";"cifras\stevie-wonder\stevie-wonder_sylvia.html"
1974;"amendoim-torradinho";"doris-monteiro";"78orptgd4wa";"cifras\doris-monteiro\doris-monteiro_amendoim-torradinho.html"
1974;"cade-voce";"odair-jose";"ykx7jych0he";"cifras\odair-jose\odair-jose_cade-voce.html"
1974;"toro-de-lagrimas";"djalma-dias";"sqzdwr4hjva";"cifras\djalma-dias\djalma-dias_toro-de-lagrimas.html"
1974;"disritmia";"martinho-da-vila";"obu62glc7me";"cifras\martinho-da-vila\martinho-da-vila_disritmia.html"
1974;"machine-gun";"commodores";"ho_od3o9olg";"cifras\commodores\commodores_machine-gun.html"
1974;"a-festa-do-divino";"ivan-lins";"i9fjgf92tg4";"cifras\ivan-lins\ivan-lins_a-festa-do-divino.html"
1974;"soleado";"francisco-cuoco";"p_smtehrdke";"cifras\francisco-cuoco\francisco-cuoco_soleado.html"
1974;"alem-de-tudo";"benito-di-paula";"nzpkabkxlzo";"cifras\benito-di-paula\benito-di-paula_alem-de-tudo.html"
1974;"alvorecer";"clara-nunes";"wcblmsrtivu";"cifras\clara-nunes\clara-nunes_alvorecer.html"
1974;"dancing-machine";"jackson-5";"o8hkeprsaas";"cifras\jackson-5\jackson-5_dancing-machine.html"
1974;"amor-que-nao-presta-nao-serve-pra-mim";"angela-maria";"yep-gm_qqvo";"cifras\angela-maria\angela-maria_amor-que-nao-presta-nao-serve-pra-mim.html"
1974;"devil-or-angel";"bryan-hyland";"npmrmrudp0w";"cifras\bryan-hyland\bryan-hyland_devil-or-angel.html"
1974;"aquarela-brasileira";"elza-soares";"lazbunccy-8";"cifras\elza-soares\elza-soares_aquarela-brasileira.html"
1974;"as-andorinhas";"secos-&-molhados";"tvykwwc-jdu";"cifras\secos-&-molhados\secos-&-molhados_as-andorinhas.html"
1974;"mistura-de-carimbo";"eliana-pittman";"zkxgo0yc1de";"cifras\eliana-pittman\eliana-pittman_mistura-de-carimbo.html"
1974;"dont-worry-bout-a-thing";"stevie-wonder";"boz3p6k5o2g";"cifras\stevie-wonder\stevie-wonder_dont-worry-bout-a-thing.html"
1974;"ballad-of-danny-bayley";"elton-john";"2y3emjrjiqk";"cifras\elton-john\elton-john_ballad-of-danny-bayley.html"
1974;"que-diacho-de-dor";"maria-creuza";"fz1afz6mami";"cifras\maria-creuza\maria-creuza_que-diacho-de-dor.html"
1974;"conto-de-areia";"clara-nunes";"t6qemgq74iq";"cifras\clara-nunes\clara-nunes_conto-de-areia.html"
1974;"no-broken-heart";"chrystian";"fgi_euvjvdu";"cifras\chrystian\chrystian_no-broken-heart.html"
1974;"de-amor-eu-morrerei";"gal-costa";"ebkcgpogvak";"cifras\gal-costa\gal-costa_de-amor-eu-morrerei.html"
1974;"dona-da-casa";"antonio-carlos-&-jocafi";"tfx_vy2tn7g";"cifras\antonio-carlos-&-jocafi\antonio-carlos-&-jocafi_dona-da-casa.html"
1974;"na-hora-do-almoco";"belchior";"d_yb1ptplcc";"cifras\belchior\belchior_na-hora-do-almoco.html"
1974;"charlie-brown";"benito-di-paula";"zsx9wkh6l7y";"cifras\benito-di-paula\benito-di-paula_charlie-brown.html"
1974;"e-la-vou-eu";"joao-nogueira";"4jc2hvwl3nu";"cifras\joao-nogueira\joao-nogueira_e-la-vou-eu.html"
1974;"el-rey";"secos-&-molhados";"jj67hyq4o9m";"cifras\secos-&-molhados\secos-&-molhados_el-rey.html"
1974;"pledging-my-love";"diana-ross-&-marvin-gaye";"aystazj1jqi";"cifras\diana-ross-&-marvin-gaye\diana-ross-&-marvin-gaye_pledging-my-love.html"
1974;"esses-mocos-(pobres-mocos)";"gilberto-gil";"2ys68nziyca";"cifras\gilberto-gil\gilberto-gil_esses-mocos-(pobres-mocos).html"
1974;"all-in-love-is-fair";"stevie-wonder";"oxnw9lmwq-e";"cifras\stevie-wonder\stevie-wonder_all-in-love-is-fair.html"
1974;"in-the-rain";"dramatics";"pxiphbnbbci";"cifras\dramatics\dramatics_in-the-rain.html"
1974;"joao-de-barro";"sergio-reis";"lslulzapgoa";"cifras\sergio-reis\sergio-reis_joao-de-barro.html"
1974;"maior-e-deus";"beth-carvalho";"tacfqcq5zqi";"cifras\beth-carvalho\beth-carvalho_maior-e-deus.html"
1974;"make-it-easy-on-yourself";"oscar-toney-jr";"euitoi5k8k0";"cifras\oscar-toney-jr\oscar-toney-jr_make-it-easy-on-yourself.html"
1974;"maracatu-atomico";"gilberto-gil";"mms-k1znk2a";"cifras\gilberto-gil\gilberto-gil_maracatu-atomico.html"
1974;"de-conversa-em-conversa";"maria-creuza";"ax7a6yxhnck";"cifras\maria-creuza\maria-creuza_de-conversa-em-conversa.html"
1974;"veneno";"eduardo-gudin,-marcia-&-paulo-cesar-pinheiro";"ke-rsekrbw0";"cifras\eduardo-gudin,-marcia-&-paulo-cesar-pinheiro\eduardo-gudin,-marcia-&-paulo-cesar-pinheiro_veneno.html"
1974;"nervos-de-aco";"paulinho-da-viola";"cno5frugzoy";"cifras\paulinho-da-viola\paulinho-da-viola_nervos-de-aco.html"
1974;"a-dona-do-primeiro-andar";"os-originais-do-samba";"dkeb6rmrbji";"cifras\os-originais-do-samba\os-originais-do-samba_a-dona-do-primeiro-andar.html"
1974;"tell-me-a-lie";"sammi-jo";"qe7gpnlhzi8";"cifras\sammi-jo\sammi-jo_tell-me-a-lie.html"
1974;"o-trem-das-sete";"raul-seixas";"vbnrwirer4e";"cifras\raul-seixas\raul-seixas_o-trem-das-sete.html"
1974;"como-e-duro-trabalhar";"toquinho-&-vinicius";"gcdfnvrkphw";"cifras\toquinho-&-vinicius\toquinho-&-vinicius_como-e-duro-trabalhar.html"
1974;"o-espigao";"ze-rodrix";"e1vbdpvjboy";"cifras\ze-rodrix\ze-rodrix_o-espigao.html"
1973;"o-vira";"secos-&-molhados";"vdvjecjopa4";"cifras\secos-&-molhados\secos-&-molhados_o-vira.html"
1973;"retalhos-de-cetim";"benito-di-paula";"z1dvycuk3py";"cifras\benito-di-paula\benito-di-paula_retalhos-de-cetim.html"
1973;"sangue-latino";"secos-&-molhados";"bliqscxpnrs";"cifras\secos-&-molhados\secos-&-molhados_sangue-latino.html"
